City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
yellowknife,62.456,-114.3525,3.2,72,40,6.91,CA,1615919512
kapaa,22.0752,-159.319,72.0,94,90,23.02,US,1615919720
tasiilaq,65.6145,-37.6368,23.0,93,90,42.57,GL,1615919720
mataura,-46.1927,168.8643,54.0,88,100,13.0,NZ,1615919721
codrington,-38.2667,141.9667,56.12,94,1,7.85,AU,1615919721
nouadhibou,20.931,-17.0347,68.0,77,0,18.41,MR,1615919721
bredasdorp,-34.5322,20.0403,59.0,88,25,4.61,ZA,1615919722
port elizabeth,-33.918,25.5701,68.0,73,75,9.22,ZA,1615919722
rudbar,30.15,62.6,66.16,20,100,2.75,AF,1615919722
nome,64.5011,-165.4064,3.99,92,1,0.74,US,1615919723
butaritari,3.0707,172.7902,81.14,77,100,14.36,KI,1615919723
kruisfontein,-34.0033,24.7314,64.99,82,44,1.99,ZA,1615919723
port hedland,-20.3167,118.5667,80.6,89,75,5.75,AU,1615919724
delta,5.5,6.0,80.6,81,100,4.65,NG,1615919724
jacareacanga,-6.2222,-57.7528,86.0,70,40,3.44,BR,1615919724
longavi,-35.9667,-71.6833,79.03,30,79,5.19,CL,1615919725
tekeli,44.83,78.8239,18.07,82,91,3.74,KZ,1615919725
barrow,71.2906,-156.7887,-5.8,77,90,13.8,US,1615919702
mareeba,-17.0,145.4333,75.2,88,40,1.14,AU,1615919726
esperance,-33.8667,121.9,62.6,67,94,13.8,AU,1615919726
port hawkesbury,45.6169,-61.3485,21.99,57,90,17.27,CA,1615919677
puerto del rosario,28.5004,-13.8627,68.0,73,20,16.11,ES,1615919727
alofi,-19.0595,-169.9187,71.6,100,100,10.8,NU,1615919727
katsuura,35.1333,140.3,57.2,51,20,10.36,JP,1615919728
makakilo city,21.3469,-158.0858,71.6,83,75,9.22,US,1615919728
mahebourg,-20.4081,57.7,80.6,74,40,10.36,MU,1615919729
georgetown,5.4112,100.3354,82.4,78,20,4.61,MY,1615919729
east london,-33.0153,27.9116,66.2,94,0,2.3,ZA,1615919729
tucupita,9.0622,-62.051,87.55,53,35,7.76,VE,1615919730
beckley,37.7782,-81.1882,66.0,51,1,8.05,US,1615919730
bambous virieux,-20.3428,57.7575,80.6,74,40,10.36,MU,1615919730
tecuala,22.3986,-105.4569,87.17,24,94,9.01,MX,1615919731
hilo,19.7297,-155.09,73.4,68,20,4.61,US,1615919538
hithadhoo,-0.6,73.0833,81.73,73,100,6.91,MV,1615919731
malangwa,26.8568,85.5581,66.04,21,0,3.11,NP,1615919731
broome,42.2506,-75.833,37.0,37,90,11.5,US,1615919732
fez,34.0372,-4.9998,64.4,55,40,6.91,MA,1615919732
klaeng,12.7797,101.6483,82.0,92,3,4.32,TH,1615919733
puerto ayora,-0.7393,-90.3518,82.4,78,20,11.5,EC,1615919733
necochea,-38.5473,-58.7368,72.0,80,100,3.0,AR,1615919733
pevek,69.7008,170.3133,-6.88,92,100,7.14,RU,1615919734
palana,59.1167,159.9667,13.1,89,16,11.99,RU,1615919735
flinders,-34.5833,150.8552,64.99,83,100,1.01,AU,1615919735
alamos,27.0167,-108.9333,81.72,7,0,8.12,MX,1615919737
esna,25.2934,32.554,78.8,31,0,5.75,EG,1615919737
slatina,44.4333,24.3667,42.01,87,90,5.75,RO,1615919738
iqaluit,63.7506,-68.5145,-13.0,64,75,4.61,CA,1615919738
sangod,24.9167,76.2833,77.65,19,0,5.75,IN,1615919739
bathsheba,13.2167,-59.5167,84.2,58,40,20.71,BB,1615919739
mount isa,-20.7333,139.5,77.0,57,40,10.36,AU,1615919740
jamestown,42.097,-79.2353,37.99,69,90,8.59,US,1615919740
ribeira grande,38.5167,-28.7,62.6,94,75,14.97,PT,1615919741
kavieng,-2.5744,150.7967,81.86,74,100,7.49,PG,1615919741
abalak,58.1286,68.5944,26.8,93,100,7.87,RU,1615919742
nikolskoye,59.7035,30.7861,32.0,93,75,2.24,RU,1615919742
dikson,73.5069,80.5464,-27.22,99,67,3.49,RU,1615919743
souillac,-20.5167,57.5167,80.6,74,40,10.36,MU,1615919743
geraldton,-28.7667,114.6,71.6,83,100,8.48,AU,1615919478
half moon bay,37.4636,-122.4286,55.0,66,1,7.0,US,1615919744
ancud,-41.8697,-73.8203,62.6,48,0,16.11,CL,1615919744
sayyan,15.1718,44.3244,59.83,11,0,6.64,YE,1615919744
eureka,40.8021,-124.1637,48.99,55,0,8.99,US,1615919696
taunggyi,20.7833,97.0333,59.47,37,0,1.99,MM,1615919745
busselton,-33.65,115.3333,65.59,65,0,6.15,AU,1615919745
acapulco,16.8634,-99.8901,84.2,65,20,5.75,MX,1615919746
chengde,40.9725,117.9361,37.87,32,0,0.72,CN,1615919746
mangaldai,26.4333,92.0333,66.2,77,20,2.55,IN,1615919746
promyshlennaya,54.9159,85.6385,8.6,72,0,4.47,RU,1615919479
vakhrushev,48.9833,142.9667,30.54,97,100,12.37,RU,1615919747
salaga,8.5508,-0.5188,95.45,28,37,3.09,GH,1615919747
mecca,21.4267,39.8261,79.83,40,0,4.52,SA,1615919748
aykhal,66.0,111.5,-21.32,99,100,7.25,RU,1615919748
akdepe,42.0551,59.3788,30.2,69,0,20.71,TM,1615919749
nadym,65.5333,72.5167,23.72,95,100,11.9,RU,1615919749
perelyub,51.8667,50.3667,13.93,88,80,13.04,RU,1615919750
qingdao,36.0986,120.3719,43.0,65,0,4.47,CN,1615919750
provideniya,64.3833,-173.3,3.36,94,100,5.26,RU,1615919750
sept-iles,50.2001,-66.3821,18.0,24,20,3.44,CA,1615919697
sitka,57.0531,-135.33,33.8,93,75,2.3,US,1615919751
mahajanga,-15.7167,46.3167,80.6,89,20,3.44,MG,1615919751
batagay,67.6333,134.6333,-10.43,85,100,5.5,RU,1615919752
bada,51.392,109.8717,7.88,95,60,4.5,RU,1615919752
jinchang,38.4953,102.1739,36.64,27,100,1.61,CN,1615919753
goundam,16.4145,-3.6708,81.97,11,0,7.54,ML,1615919754
narsaq,60.9167,-46.05,39.2,41,75,24.16,GL,1615919754
tiznit,29.5833,-9.5,69.28,40,22,2.95,MA,1615919755
avarua,-21.2078,-159.775,77.0,88,37,8.05,CK,1615919755
airai,-8.9266,125.4092,60.44,87,96,0.78,TL,1615919756
karratha,-20.7377,116.8463,82.42,61,29,6.89,AU,1615919757
ilulissat,69.2167,-51.1,10.4,72,75,6.91,GL,1615919757
islamkot,24.6997,70.177,78.51,39,56,11.34,PK,1615919757
marawi,7.9986,124.2928,73.99,92,1,5.01,PH,1615919758
labuhan,-6.8844,112.2051,78.64,82,36,3.42,ID,1615919758
rawson,-43.3002,-65.1023,56.52,69,100,31.72,AR,1615919759
pontevedra,42.431,-8.6444,68.0,42,0,10.36,ES,1615919759
seoul,37.5683,126.9778,37.4,74,0,2.3,KR,1615919731
bosaso,11.2842,49.1816,77.54,77,32,4.29,SO,1615919760
coihaique,-45.5752,-72.0662,59.0,44,20,6.91,CL,1615919760
kamenka,51.3223,42.7678,33.01,79,100,5.99,RU,1615919760
longyearbyen,78.2186,15.6401,-7.6,71,20,11.5,SJ,1615919761
aklavik,68.2191,-135.0107,-11.2,77,8,1.14,CA,1615919761
cherskiy,68.75,161.3,-16.82,96,99,7.87,RU,1615919762
leningradskiy,69.3833,178.4167,-2.33,97,100,5.53,RU,1615919762
blairmore,49.6,-114.4353,44.01,49,58,1.14,CA,1615919763
saint-philippe,-21.3585,55.7679,80.6,74,20,13.8,RE,1615919764
elizabeth city,36.2946,-76.2511,45.0,93,90,11.5,US,1615919584
ternate,0.8,127.4,80.71,79,92,5.66,ID,1615919764
nanortalik,60.1432,-45.2371,27.21,95,100,11.41,GL,1615919765
severo-kurilsk,50.6789,156.125,34.63,98,100,11.12,RU,1615919765
kisangani,0.5167,25.2,70.12,94,100,1.95,CD,1615919766
huarmey,-10.0681,-78.1522,78.6,68,10,11.59,PE,1615919766
norman wells,65.282,-126.8329,-16.6,69,20,3.44,CA,1615919766
imeni poliny osipenko,52.4201,136.4853,10.96,79,100,11.41,RU,1615919767
saint-augustin,51.226,-58.6502,20.48,80,100,10.45,CA,1615919767
lavrentiya,65.5833,-171.0,-0.06,96,100,5.37,RU,1615919768
rafaela,-31.2503,-61.4867,77.0,64,98,5.99,AR,1615919768
taoudenni,22.6783,-3.9836,80.26,15,0,11.32,ML,1615919769
westport,41.1415,-73.3579,33.01,40,90,3.44,US,1615919769
jorochito,-18.05,-63.4333,84.2,69,75,17.27,BO,1615919769
joao pinheiro,-17.7425,-46.1725,78.76,67,5,3.65,BR,1615919770
lhokseumawe,5.1801,97.1507,79.03,81,100,5.32,ID,1615919770
pangody,65.85,74.4859,20.68,95,100,10.54,RU,1615919771
axim,4.8699,-2.2405,81.41,82,75,8.81,GH,1615919606
cape town,-33.9258,18.4232,69.01,72,20,19.57,ZA,1615919772
makinsk,52.6292,70.4169,9.0,94,100,11.95,KZ,1615919773
torbay,47.6666,-52.7314,28.99,86,90,26.46,CA,1615919773
malumfashi,11.7853,7.6218,83.23,16,64,4.9,NG,1615919773
erdenet,49.0333,104.0833,14.49,87,100,3.24,MN,1615919774
cidreira,-30.1811,-50.2056,79.14,80,100,15.7,BR,1615919775
coruripe,-10.1256,-36.1756,81.99,60,0,11.83,BR,1615919775
carnarvon,-24.8667,113.6333,78.8,83,64,12.66,AU,1615919776
muskogee,35.5834,-95.3336,70.0,40,1,11.5,US,1615919521
hermanus,-34.4187,19.2345,62.01,82,33,12.17,ZA,1615919776
arraial do cabo,-22.9661,-42.0278,89.6,61,0,12.66,BR,1615919777
warri,5.5167,5.75,80.83,79,100,5.95,NG,1615919777
yerbogachen,61.2767,108.0108,16.0,93,100,10.11,RU,1615919778
kaeo,-35.1,173.7833,57.99,92,98,7.43,NZ,1615919778
portland,45.5234,-122.6762,46.0,70,20,4.61,US,1615919547
muros,42.7762,-9.0603,66.0,46,8,5.99,ES,1615919779
castro,-24.7911,-50.0119,80.38,60,12,3.47,BR,1615919780
san quintin,30.4833,-115.95,58.39,50,0,19.19,MX,1615919780
shetpe,44.1667,52.1167,35.29,43,81,31.59,KZ,1615919781
tomatlan,19.9333,-105.25,86.9,34,0,9.24,MX,1615919781
vilcun,-38.65,-72.2333,66.2,59,75,6.91,CL,1615919782
sao filipe,14.8961,-24.4956,72.93,73,0,11.14,CV,1615919782
mount gambier,-37.8333,140.7667,50.0,100,75,3.44,AU,1615919783
belyy yar,53.6039,91.3903,-0.4,85,0,2.24,RU,1615919783
victoria,22.2855,114.1577,73.0,87,0,5.19,HK,1615919781
isangel,-19.55,169.2667,76.32,85,2,6.67,VU,1615919784
fairlie,55.756,-4.8556,53.01,66,100,11.5,GB,1615919784
hobyo,5.3505,48.5268,81.36,75,98,16.75,SO,1615919785
karlshamn,56.1706,14.8619,37.0,100,34,2.08,SE,1615919785
hirara,24.8,125.2833,72.25,86,0,9.57,JP,1615919786
deputatskiy,69.3,139.9,-18.27,85,100,3.58,RU,1615919786
lardos,36.0942,28.0157,55.0,87,75,4.61,GR,1615919787
saskylakh,71.9167,114.0833,-38.52,97,89,8.66,RU,1615919787
sisimiut,66.9395,-53.6735,7.12,84,92,4.76,GL,1615919787
alta floresta,-9.8756,-56.0861,89.6,55,40,2.3,BR,1615919788
hobart,-42.8794,147.3294,51.01,93,22,8.05,AU,1615919789
lashio,22.9333,97.75,60.71,49,0,1.81,MM,1615919789
petropavlovsk-kamchatskiy,53.0452,158.6483,41.0,70,40,4.47,RU,1615919789
pacific grove,36.6177,-121.9166,52.0,71,83,5.01,US,1615919790
sur,22.5667,59.5289,77.34,53,0,4.81,OM,1615919790
vicuna,-30.0319,-70.7081,80.01,30,3,5.01,CL,1615919791
ilebo,-4.3167,20.5833,71.04,99,100,4.72,CD,1615919791
kaitangata,-46.2817,169.8464,51.01,82,100,8.01,NZ,1615919792
faanui,-16.4833,-151.75,82.11,71,71,10.04,PF,1615919792
hami,42.8,93.45,39.97,44,84,4.36,CN,1615919793
playas,-2.6333,-80.3833,81.32,74,12,6.49,EC,1615919793
sao felix do xingu,-6.6447,-51.995,87.69,66,90,2.17,BR,1615919793
innisfail,-17.5333,146.0333,72.52,91,17,3.78,AU,1615919794
along,28.1667,94.7667,63.72,84,46,2.1,IN,1615919794
bandarbeyla,9.4942,50.8122,78.35,80,99,13.65,SO,1615919795
okha,53.5739,142.9478,15.28,73,100,15.3,RU,1615919795
san patricio,28.017,-97.5169,78.01,94,90,17.27,US,1615919796
conde,-7.2597,-34.9075,84.2,70,40,16.11,BR,1615919796
bontang,0.1333,117.5,80.42,83,83,3.42,ID,1615919797
chokurdakh,70.6333,147.9167,-27.96,88,0,8.7,RU,1615919797
kutum,14.2,24.6667,73.45,11,0,5.21,SD,1615919798
chimbote,-9.0853,-78.5783,78.57,65,90,11.21,PE,1615919799
bilma,18.6853,12.9164,81.45,13,10,8.23,NE,1615919800
maple creek,49.9168,-109.4848,35.6,60,57,3.44,CA,1615919800
ewa beach,21.3156,-158.0072,71.6,83,75,9.22,US,1615919736
tahoua,14.8888,5.2692,98.6,9,0,4.61,NE,1615919801
jinji,23.2281,110.8261,72.45,81,0,2.08,CN,1615919802
mar del plata,-38.0023,-57.5575,71.6,94,90,10.36,AR,1615919802
darhan,49.4867,105.9228,16.07,81,99,2.82,MN,1615919803
vilyuysk,63.7553,121.6247,11.16,94,97,7.43,RU,1615919804
tambo,-14.8,-73.9167,42.4,87,100,11.48,PE,1615919804
najran,17.4924,44.1277,75.2,15,0,4.61,SA,1615919805
elk city,35.412,-99.4043,68.0,34,1,12.66,US,1615919805
abaete,-19.16,-45.4458,82.27,58,45,1.99,BR,1615919581
monrovia,6.3005,-10.7969,82.4,78,40,3.44,LR,1615919806
lebu,-37.6167,-73.65,60.35,72,100,13.69,CL,1615919807
thinadhoo,0.5333,72.9333,82.38,73,100,10.47,MV,1615919807
elblag,54.1522,19.4088,37.0,85,0,3.0,PL,1615919808
chuy,-33.6971,-53.4616,77.81,69,100,13.38,UY,1615919808
turtas,58.9417,69.1325,26.33,93,100,7.85,RU,1615919809
evensk,61.95,159.2333,6.24,63,0,12.53,RU,1615919810
grand gaube,-20.0064,57.6608,78.01,81,100,1.99,MU,1615919810
ndele,8.4109,20.6473,72.45,83,100,10.31,CF,1615919810
nevelsk,46.6733,141.8633,28.4,93,80,6.71,RU,1615919811
khatanga,71.9667,102.5,-43.17,97,52,9.33,RU,1615919811
cockburn town,21.4612,-71.1419,78.8,61,40,12.66,TC,1615919812
thompson,55.7435,-97.8558,23.0,39,20,6.91,CA,1615919756
lagoa,39.05,-27.9833,60.46,91,80,25.55,PT,1615919812
alegrete,-29.7831,-55.7919,99.37,23,77,8.19,BR,1615919813
middletown,39.5151,-84.3983,53.6,93,90,3.44,US,1615919647
dunedin,-45.8742,170.5036,55.0,66,52,4.0,NZ,1615919527
adrar,20.5022,-10.0711,78.58,10,0,7.63,MR,1615919813
miri,4.4148,114.0089,77.0,100,40,2.3,MY,1615919814
ijui,-28.3878,-53.9147,93.2,43,0,11.5,BR,1615919814
tamluk,22.3,87.9167,77.0,57,20,6.22,IN,1615919815
harper,4.375,-7.7169,80.24,83,43,10.13,LR,1615919815
pisco,-13.7,-76.2167,78.01,69,0,9.22,PE,1615919816
fort-shevchenko,44.5086,50.263,39.34,46,64,32.88,KZ,1615919816
saint george,37.1041,-113.5841,44.01,87,90,5.75,US,1615919813
edgewater,28.9889,-80.9023,84.0,54,40,11.5,US,1615919817
north bend,43.4065,-124.2243,48.99,70,1,6.42,US,1615919741
ballina,-28.8667,153.5667,69.8,83,90,9.22,AU,1615919647
khandagayty,50.7333,92.05,7.65,82,96,6.35,RU,1615919818
fortuna,40.5982,-124.1573,48.99,57,1,12.66,US,1615919818
neuquen,-38.9516,-68.0591,77.0,33,75,8.05,AR,1615919818
kousseri,12.0769,15.0306,98.6,9,100,8.05,CM,1615919819
kailua,21.4022,-157.7394,71.6,88,90,14.97,US,1615919820
yaring,6.8662,101.3689,74.64,87,98,6.91,TH,1615919608
sfantu gheorghe,45.8667,25.7833,32.0,95,100,1.01,RO,1615919646
padang,-0.9492,100.3543,75.2,100,40,2.3,ID,1615919820
ziway,7.9333,38.7167,73.81,36,32,14.72,ET,1615919821
tuatapere,-46.1333,167.6833,54.0,88,100,13.0,NZ,1615919821
hualmay,-11.0964,-77.6139,77.54,69,100,10.87,PE,1615919822
elko,41.0002,-115.5012,45.0,53,75,11.5,US,1615919822
port-gentil,-0.7193,8.7815,80.6,89,20,9.22,GA,1615919823
sangar,63.9242,127.4739,2.62,93,100,12.82,RU,1615919823
riyadh,24.6877,46.7219,86.0,19,0,6.91,SA,1615919803
kungurtug,50.5994,97.5228,12.99,96,100,1.92,RU,1615919823
arlit,18.7369,7.3853,85.64,12,0,8.97,NE,1615919824
la crosse,43.8014,-91.2396,35.6,69,90,4.61,US,1615919773
bergen,60.392,5.328,37.4,56,40,11.5,NO,1615919824
waipawa,-41.4122,175.5153,50.0,87,21,2.3,NZ,1615919825
san jose,37.3394,-121.895,57.0,58,75,6.91,US,1615919602
kjollefjord,70.9457,27.3465,21.2,79,90,18.41,NO,1615919825
kulu,39.0951,33.0799,41.52,64,0,15.5,TR,1615919826
filingue,14.3521,3.3168,89.04,15,0,3.98,NE,1615919826
hokitika,-42.7167,170.9667,52.16,81,89,7.29,NZ,1615919827
bengkulu,-3.8004,102.2655,75.22,86,99,4.21,ID,1615919827
sorland,67.667,12.6934,33.8,75,0,3.44,NO,1615919828
kysyl-syr,63.8986,122.7617,13.68,94,99,7.67,RU,1615919828
bluff,-46.6,168.3333,54.0,88,100,13.0,NZ,1615919829
lamont,35.2597,-118.9143,55.0,55,43,1.99,US,1615919830
christchurch,-43.5333,172.6333,50.0,87,20,2.3,NZ,1615919830
amurzet,47.6967,131.0981,22.21,80,2,7.09,RU,1615919830
laohekou,32.3858,111.6678,46.99,50,100,3.0,CN,1615919831
pajapan,18.25,-94.7,87.8,48,1,11.5,MX,1615919831
vondrozo,-22.8167,47.2833,68.7,97,100,1.32,MG,1615919832
port macquarie,-31.4333,152.9167,66.2,100,75,6.91,AU,1615919832
kaduqli,11.0167,29.7167,88.07,16,0,4.65,SD,1615919833
roura,4.7263,-52.3274,86.0,58,40,11.5,GF,1615919833
batticaloa,7.7102,81.6924,79.81,80,37,7.11,LK,1615919833
lompoc,34.6391,-120.4579,54.0,50,1,9.22,US,1615919834
grand-santi,4.25,-54.3833,85.84,58,81,4.65,GF,1615919835
shelburne,44.0787,-80.2041,37.99,45,60,3.0,CA,1615919835
shimoda,34.6667,138.95,53.01,56,0,1.01,JP,1615919836
kalaswala,32.2009,74.6491,68.0,73,40,4.83,PK,1615919837
bemidji,47.4736,-94.8803,37.0,74,90,4.61,US,1615919739
victoria point,-27.5833,153.3,68.0,94,90,5.75,AU,1615919837
kargat,55.1956,80.2811,7.52,91,100,9.84,RU,1615919838
ravenna,44.4167,11.9833,55.4,58,0,1.14,IT,1615919838
nabire,-3.3667,135.4833,74.37,90,79,3.69,ID,1615919839
sandwick,60.0,-1.25,46.4,76,40,23.02,GB,1615919839
touros,-5.1989,-35.4608,86.0,58,20,18.41,BR,1615919840
sao joao da barra,-21.6403,-41.0511,86.0,58,0,16.11,BR,1615919840
beringovskiy,63.05,179.3167,13.66,86,100,5.66,RU,1615919840
ingham,42.6,-84.3833,44.01,65,90,4.65,US,1615919841
hofn,64.2539,-15.2082,41.83,78,23,1.86,IS,1615919841
nanakuli,21.3906,-158.1547,71.6,83,75,9.22,US,1615919842
khandyga,62.6667,135.6,-5.98,87,73,5.5,RU,1615919842
tiksi,71.6872,128.8694,-13.22,98,100,2.89,RU,1615919842
nieuw amsterdam,5.8833,-55.0833,89.01,51,20,6.91,SR,1615919843
ahuimanu,21.4447,-157.8378,71.6,88,90,14.97,US,1615919843
dourbali,11.8091,15.8632,92.71,13,100,5.21,TD,1615919581
moerai,-22.4333,-151.3333,78.85,77,48,25.64,PF,1615919844
pochutla,15.7432,-96.4661,88.0,58,1,11.5,MX,1615919844
kautokeino,69.0125,23.0412,5.31,95,77,3.6,NO,1615919844
meulaboh,4.1363,96.1285,77.63,86,100,3.91,ID,1615919845
prince rupert,54.3161,-130.3201,41.0,87,100,13.8,CA,1615919845
sioux lookout,50.1001,-91.917,41.0,48,75,6.91,CA,1615919845
mosquera,4.7059,-74.2302,64.4,55,75,2.3,CO,1615919846
yulara,-25.2406,130.9889,60.8,31,100,6.91,AU,1615919846
ketchikan,55.3422,-131.6461,37.4,93,90,4.61,US,1615919847
grindavik,63.8424,-22.4338,44.6,100,90,13.8,IS,1615919847
fairbanks,64.8378,-147.7164,5.0,85,90,1.66,US,1615919847
nuuk,64.1835,-51.7216,15.8,79,90,18.41,GL,1615919848
oruro,-17.9833,-67.15,62.6,51,40,4.61,BO,1615919849
vila velha,-20.3297,-40.2925,86.0,54,0,16.11,BR,1615919849
gazimurskiy zavod,51.5461,118.3266,9.05,87,100,1.86,RU,1615919849
salto,-31.3833,-57.9667,70.0,94,90,6.91,UY,1615919850
voi,-3.3945,38.563,76.41,73,72,7.29,KE,1615919850
ixtapa,20.7,-105.2,71.6,60,1,8.05,MX,1615919850
uruzgan,32.8333,66.0,53.1,42,54,1.05,AF,1615919851
asau,46.4333,26.4,39.0,67,100,10.85,RO,1615919851
smithers,54.7804,-127.1743,37.4,60,75,9.22,CA,1615919852
beaumont,30.0861,-94.1019,77.0,78,90,10.36,US,1615919852
chapais,49.7834,-74.8492,30.2,34,1,11.5,CA,1615919852
cuamba,-14.8031,36.5372,69.21,96,100,2.08,MZ,1615919853
nybro,56.7446,15.9071,33.01,93,0,3.44,SE,1615919853
mackenzie,55.2999,-123.1698,32.0,55,1,13.8,CA,1615919853
northam,51.0333,-4.2167,48.0,83,0,8.01,GB,1615919854
key west,24.5557,-81.7826,82.4,61,20,12.66,US,1615919854
port lincoln,-34.7333,135.8667,61.39,90,6,7.45,AU,1615919771
praia da vitoria,38.7333,-27.0667,61.0,94,75,16.6,PT,1615919855
hunchun,42.8675,130.3581,27.91,47,0,7.87,CN,1615919824
pemangkat,1.1667,108.9667,77.4,90,94,3.62,ID,1615919856
roald,62.5833,6.1333,36.0,75,75,5.75,NO,1615919856
ponta do sol,32.6667,-17.1,64.4,63,20,17.27,PT,1615919857
hadejia,12.4498,10.0444,84.06,14,5,4.36,NG,1615919857
oriximina,-1.7656,-55.8661,89.31,56,24,3.8,BR,1615919857
kieta,-6.2167,155.6333,76.46,84,0,3.62,PG,1615919858
constitucion,-35.3333,-72.4167,64.67,64,39,11.77,CL,1615919858
el oro,26.8667,-105.85,72.93,7,0,31.54,MX,1615919858
tromso,69.6496,18.957,24.8,74,75,5.75,NO,1615919644
raudeberg,61.9875,5.1352,35.01,89,39,3.65,NO,1615919859
khaga,25.7833,81.1167,73.67,22,0,2.89,IN,1615919860
komsomolskiy,40.4272,71.7189,37.4,75,100,2.3,UZ,1615919860
lisakovsk,52.5369,62.4936,8.2,81,0,9.95,KZ,1615919860
lakes entrance,-37.8811,147.981,54.0,93,14,10.18,AU,1615919861
ponta grossa,-25.095,-50.1619,79.7,65,19,4.09,BR,1615919861
port augusta,-32.5,137.7667,64.99,94,0,5.75,AU,1615919861
kondagaon,19.6,81.6667,71.73,26,0,3.6,IN,1615919862
mlonggo,-6.5333,110.7,77.9,84,1,3.96,ID,1615919862
mocoa,1.1493,-76.6466,79.77,77,100,3.04,CO,1615919863
bouza,14.4229,6.0428,87.01,15,65,6.02,NE,1615919863
lasa,46.6166,10.7002,50.0,64,40,6.91,IT,1615919863
hongjiang,27.11,109.9956,65.17,95,100,3.69,CN,1615919864
margate,51.3813,1.3862,51.01,79,89,8.01,GB,1615919864
polignano a mare,40.9959,17.2159,53.01,57,20,12.66,IT,1615919864
klaksvik,62.2266,-6.589,44.6,93,75,19.57,FO,1615919865
kholodnyy,62.7167,147.95,-24.48,74,0,3.33,RU,1615919865
henties bay,-22.116,14.2845,62.01,89,3,5.01,NA,1615919866
san cristobal,7.7669,-72.225,78.8,83,75,2.3,VE,1615919866
zheleznodorozhnyy,55.7503,38.0042,35.01,86,75,4.47,RU,1615919867
kamaishi,39.2667,141.8833,37.29,71,30,10.87,JP,1615919867
batemans bay,-35.7167,150.1833,61.0,85,100,1.01,AU,1615919868
kavaratti,10.5669,72.642,82.96,71,0,8.5,IN,1615919868
wattegama,6.7989,81.4808,77.0,100,0,5.75,LK,1615919868
chernyshevskiy,63.0128,112.4714,13.08,93,100,9.33,RU,1615919869
peniche,39.3558,-9.3811,62.01,61,0,7.0,PT,1615919869
mezen,65.8522,44.24,20.57,96,95,4.56,RU,1615919870
teresina,-5.0892,-42.8019,91.4,52,75,6.91,BR,1615919870
lincoln,40.8,-96.667,45.0,81,90,5.75,US,1615919870
bakel,14.905,-12.4568,86.05,10,0,3.31,SN,1615919871
lewistown,40.5992,-77.5714,39.99,41,90,10.42,US,1615919871
wuda,39.4994,106.7117,36.14,22,45,4.23,CN,1615919871
tubli,13.9318,124.1478,77.74,90,6,3.0,PH,1615919872
gabu,12.2833,-14.2167,93.9,12,0,4.43,GW,1615919872
salalah,17.0151,54.0924,78.8,65,0,2.68,OM,1615919873
batouri,4.4333,14.3667,68.88,93,100,3.18,CM,1615919873
avera,33.194,-82.5271,51.8,75,90,5.75,US,1615919873
sarangani,5.4033,125.4636,82.44,76,55,10.04,PH,1615919874
chiredzi,-21.05,31.6667,71.71,71,1,5.21,ZW,1615919874
ambulu,-8.345,113.6058,75.65,91,82,2.75,ID,1615919875
